ID,key,text,language
"1","bookingsearch.building.title","Building","en"
"2","bookingsearch.building.title","Immeuble","fr"
"3","bookingsearch.floor.title","Floor","en"
"4","bookingsearch.floor.title","Étage","fr"
"5","bookingsearch.date.title","Date (YYYY-MM-DD)","en"
"6","bookingsearch.date.title","Date (AAAA-MM-JJ)","fr"
"7","bookingsearch.timerange.title","Time Range","en"
"8","bookingsearch.timerange.title","Plage horaire","fr"
"9","bookingsearch.seatingtype.title","Type de siège","fr"
"10","bookingsearch.button.search","Search a Seat","en"
"11","bookingsearch.button.search","Rechercher un siège","fr"
"12","reviewbooking.header.detail","Booking Details","en"
"13","reviewbooking.header.detail","Renseignements sur la réservation","fr"
"14","bookingsearch.neighbourhood.title","Neighbourhood","en"
"15","bookingsearch.neighbourhood.title","Voisinage","fr"
"16","bookingsearch.building.default","Select Your Building","en"
"17","bookingsearch.building.default","Sélectionnez votre immeuble","fr"
"18","bookingsearch.floor.default","Select Your Floor","en"
"19","bookingsearch.floor.default","Sélectionnez votre étage","fr"
"20","bookingsearch.neighbourhood.default","Select Your Neighbourhood","en"
"21","bookingsearch.neighbourhood.default","Sélectionnez votre voisinage","fr"
"22","bookingsearch.seatingtype.default","Select Your Preferred Seating Type","en"
"23","bookingsearch.seatingtype.default","Sélectionnez votre type de siège préféré","fr"
"24","bookingsearch.date.default","YYYY-MM-DD","en"
"25","bookingsearch.date.default","AAAA-MM-JJ","fr"
"26","bookingsearch.timerange.default","Select a Time Range For Your Booking","en"
"27","bookingsearch.timerange.default","Sélectionnez une plage horaire pour votre réservation","fr"
"28","bookingsearch.button.clear","Clear all","en"
"29","bookingsearch.button.clear","Tout effacer","fr"
"30","bookingsearch.region.title","Region","en"
"31","bookingsearch.region.title","Région","fr"
"32","heading.search","Search for Seating","en"
"33","heading.search","Rechercher un siège","fr"
"34","bookingsearch.region.default","Select Your Region","en"
"35","bookingsearch.region.default","Sélectionnez votre région","fr"
"36","bookingsearch.seatingtype.title","Seating Type","en"
"37","header.profile","My Profile","en"
"38","header.profile","Mon Profil","fr"
"39","header.book","Book a Seat","en"
